COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE,VERIFIED LOCATION,REGION,Georeference
"Duchscherer, William J.",Orleans,Shelby,31073000000000,Cook D R 1,UM,DW,-78.44156,43.18586,NO,8,POINT (-78.44156 43.18586)
Unknown,Erie,Elma,31029000000000,Cotton G G 1,UN,GD,-78.60549,42.86337,NO,9,POINT (-78.60549 42.86337)
Alden Batavia Natural Gas Co.,Erie,Alden,31029000000000,Nobel Nuwer,UN,GD,-78.56141,42.91508,NO,9,POINT (-78.56141 42.91508)
Valley Drilling Corp. of America,Chautauqua,Busti,31013200000000,D Eckstrom 5,UL,OD,-79.29716,42.006463,YES,9,POINT (-79.29716 42.006463)
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Young P-44,UL,IW,-77.71145,42.09361,NO,8,POINT (-77.71145 42.09361)
NYS Natural Gas Corp.,Steuben,Troupsburg,31101000000000,Lozier 1,UM,DW,-77.54299,42.01248,NO,8,POINT (-77.54299 42.01248)
"Lee Oil Company, Inc.",Steuben,West Union,31101200000000,Rex 422,UL,OD,-77.69763,42.09843,NO,8,POINT (-77.69763 42.09843)
Unknown,Cattaraugus,Hinsdale,31009700000000,Hinsdale F-1,UN,NL,-78.39907,42.134644,NO,9,POINT (-78.39907 42.134644)
Unknown,Allegany,Bolivar,31003700000000,Dunn J 40,UM,NL,-78.16126,42.062897,NO,9,POINT (-78.16126 42.062897)
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Barney 291,UL,IW,-77.70816,42.0933,NO,8,POINT (-77.70816 42.0933)
Unknown,Cattaraugus,Allegany,31009700000000,KC 649,UN,NL,-78.52859,42.005814,NO,9,POINT (-78.52859 42.005814)
Unknown,Cattaraugus,Allegany,31009700000000,KC 331,UM,NL,-78.51667,42.009003,NO,9,POINT (-78.51667 42.009003)
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley P-20,UL,IW,-77.70455,42.09658,NO,8,POINT (-77.70455 42.09658)
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Rex 353,UL,NL,-77.69599,42.09204,NO,8,POINT (-77.69599 42.09204)
Unknown,Cattaraugus,Allegany,31009700000000,KC 930,UN,NL,-78.54298,42.004929,NO,9,POINT (-78.54298 42.004929)
Unknown,Allegany,Wirt,31003700000000,PYR 50,UN,NL,-78.17766,42.084255,NO,9,POINT (-78.17766 42.084255)
Unknown,Allegany,Wirt,31003700000000,Schamberger J 9,UM,NL,-78.18459,42.089142,NO,9,POINT (-78.18459 42.089142)
Geneva Gas,Ontario,Phelps,31069000000000,Peachy C E 1,UL,DW,-77.03856,42.92194,NO,8,POINT (-77.03856 42.92194)
Unknown,Allegany,Bolivar,31003700000000,DF 15,UL,NL,-78.1182,42.04659,YES,9,POINT (-78.1182 42.04659)
Unknown,Allegany,Bolivar,31003700000000,PG 48,UM,NL,-78.07885,42.063416,NO,9,POINT (-78.07885 42.063416)
