,APIWellNumber,CountyCode,APIHoleNumber,Sidetrack,Completion,WellName,CompanyName,OperatorNumber,WellType,MapSymbol,WellStatus,StatusDate,PermitApplicationDate,PermitIssuedDate,DateSpudded,DateofTotalDepth,DateWellCompleted,DateWellPlugged,DateWellConfidentialityEnds,ConfidentialityCode,Town,Quad,QuadSection,ProducingField,ProducingFormation,FinancialSecurity,Slant,County,Region,StateLease,ProposedDepthft,SurfaceLongitude,SurfaceLatitude,BottomHoleLongitude,BottomHoleLatitude,TrueVerticalDepthft,MeasuredDepthft,Kickoffft,DrilledDepthft,Elevationft,OriginalWellType,PermitFee,ObjectiveFormation,DepthFee,Spacing,SpacingAcres,Integration,HearingDate,DateLastModified,DECDatabaseLink,Location1,WellTime,WellTime_Yr
284,31003217760000,3,21776,0,0,NYSRA 7-8,Vandermark Exploration Inc.,1201,GD,GWP,PA,06/14/1990,08/02/1989,08/02/1989,09/14/1989,09/22/1989,1989-09-22,1990-06-14,03/14/1990,Released,Ward,Wellsville North,C,Vandermark Creek,Oriskany,False,Vertical,Allegany,9.0,ST,4500.0,-77.89118,42.22556,-77.89118,42.22556,4452.0,4452.0,0.0,4452.0,2225.0,NL,1225.0,Oriskany,1125.0,,,,,03/11/2008 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003217760000,"(42.22556, -77.89118)",265.0,0.726027397260274
310,31003165730000,3,16573,0,0,Forsythe 020,Plants and Goodwin Inc.,451,OW,OWP,PA,12/21/2006,08/21/1981,08/25/1981,10/25/1981,10/27/1981,1981-10-27,2006-12-21,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,0.0,-77.77037,42.06649,-77.77037,42.06649,1216.0,1216.0,0.0,1216.0,,NL,0.0,,0.0,,,,,01/05/2007 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003165730000,"(42.06649, -77.77037)",9186.0,25.167123287671235
342,31003200230000,3,20023,0,0,Friendship Dairies 1,Friendship Dairies Inc.,1043,GW,GWP,PA,05/15/2009,04/22/1985,07/01/1985,07/12/1985,08/05/1985,1985-12-31,2009-05-15,07/24/1990,Released,Friendship,Belmont,A,,Medina,False,Vertical,Allegany,9.0,,5500.0,-78.117,42.21145,-78.117,42.21145,5236.0,5236.0,0.0,5236.0,1460.0,NL,1475.0,Medina,1375.0,,,,,09/11/2017 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003200230000,"(42.21145, -78.117)",8536.0,23.386301369863013
346,31003184820000,3,18482,0,0,Kent Farms 1,Abarta Oil & Gas Inc.,739,DH,DP,PA,07/23/1990,08/05/1983,08/01/1983,08/23/1983,01/10/1984,1984-07-18,1990-07-23,,Pre-1989 Well (N/A),Andover,Andover,G,Beech Hill-Independence,Penny & Fulmer Valley,False,Vertical,Allegany,9.0,,2250.0,-77.84117999999998,42.16529,-77.84117999999998,42.16529,2458.0,2458.0,0.0,2458.0,2150.0,NL,725.0,Fulmer Valley,625.0,,,,,01/01/1900 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003184820000,"(42.16529, -77.84118)",2196.0,6.016438356164383
349,31003087540000,3,8754,0,0,Clark-Norton 15,The Richardson Petroleum Corporation,37,OD,OWP,PA,04/11/1990,09/20/1971,,09/27/1971,11/03/1971,1971-11-03,1990-04-11,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,1225.0,-77.75969,42.06724,-77.75969,42.06724,1246.0,1246.0,0.0,1246.0,2220.0,NL,0.0,,0.0,,,,,04/04/1995 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003087540000,"(42.06724, -77.75969)",6734.0,18.44931506849315
366,31003071270000,3,7127,0,0,Alma Hill 20-66,K-Arcy Corp.,192,OD,OWP,PA,12/12/1985,,,08/15/1969,09/09/1969,1969-09-13,1985-12-12,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1100.0,-78.01265999999998,42.02606,-78.01265999999998,42.02606,1114.0,1114.0,0.0,1114.0,1920.0,NL,0.0,,0.0,,,,,12/14/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003071270000,"(42.02606, -78.01266)",5934.0,16.257534246575343
380,31003192690000,3,19269,0,0,Bledsoe 01 Z,The Richardson Petroleum Corporation,37,OD,OWP,PA,05/21/1992,08/27/1984,09/10/1984,10/30/1984,12/08/1984,1984-12-24,1992-05-21,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,1850.0,-77.75635,42.07039,-77.75635,42.07039,1815.0,1815.0,0.0,1815.0,2200.0,NL,600.0,Fulmer Valley,500.0,,,,,07/29/1987 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003192690000,"(42.07039, -77.75635)",2705.0,7.410958904109589
386,31003170020000,3,17002,0,0,Hungerford 3,B & H Oil Co.,1305,OD,OWP,PA,11/10/1998,12/21/1981,12/30/1981,01/29/1982,02/03/1982,1982-06-07,1998-11-10,,Pre-1989 Well (N/A),Bolivar,Bolivar,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1700.0,-78.15501999999998,42.00878,-78.15501999999998,42.00878,1716.0,1716.0,0.0,1716.0,2020.0,NL,600.0,,500.0,,,,,12/09/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003170020000,"(42.00878, -78.15502)",6000.0,16.438356164383563
395,31003130510000,3,13051,0,0,49 Bayard Austin,The Richardson Petroleum Corporation,37,OD,OWP,PA,10/28/1992,,11/01/1979,12/15/1977,01/30/1978,1978-10-20,1992-10-28,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,0.0,-77.75651999999998,42.07727,-77.75651999999998,42.07727,1863.0,1863.0,0.0,1863.0,2235.0,NL,0.0,Fulmer Valley,0.0,,,,,06/07/1996 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003130510000,"(42.07727, -77.75652)",5122.0,14.032876712328767
420,31003136840000,3,13684,0,0,"Bently, G 20614tpi",Columbia Gas Transmission LLC,31,GW,GWP,PA,09/16/1981,09/18/1978,10/06/1978,11/29/1978,12/07/1978,1979-01-24,1981-09-16,,Pre-1989 Well (N/A),Granger,Birdsall,D,,Oriskany,False,Vertical,Allegany,9.0,,3000.0,-77.98480999999998,42.44087,-77.98480999999998,42.44087,3146.0,3146.0,0.0,3146.0,1820.0,NL,20.0,Oriskany,0.0,,,,,06/04/1989 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003136840000,"(42.44087, -77.98481)",966.0,2.6465753424657534
449,31003094610000,3,9461,0,0,3-53/68 Kv,Klein Oil & Logging,1775,OW,OWP,PA,04/19/2013,08/23/1972,08/29/1972,08/30/1972,10/18/1972,1972-10-26,2013-04-19,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1250.0,-78.03323,42.02397,-78.03323,42.02397,1271.0,1271.0,0.0,1271.0,,NL,0.0,,0.0,,,,,05/29/2013 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003094610000,"(42.02397, -78.03323)",14785.0,40.50684931506849
478,31003518650000,3,51865,0,0,Warfield 132,B.C.R. Development Inc.,237,OD,OWP,PA,07/29/1978,,,05/26/1952,,1952-06-24,1978-07-29,,Pre-1989 Well (N/A),Alma,Wellsville South,D,Ford's Brook,,False,Vertical,Allegany,9.0,,0.0,-77.96210999999998,42.04943,-77.96210999999998,42.04943,980.0,980.0,0.0,980.0,,NL,0.0,,0.0,,,,,01/10/1994 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003518650000,"(42.04943, -77.96211)",9531.0,26.112328767123287
502,31003055170000,3,5517,0,0,Neff 112,Ebenezer Oil Co. Inc.,24,OD,OWP,PA,06/14/1988,05/03/1968,05/09/1968,05/06/1968,05/31/1968,1968-06-01,1988-06-14,,Pre-1989 Well (N/A),Scio,Allentown,B,Richburg,Richburg,False,Vertical,Allegany,9.0,,1210.0,-78.0575,42.09547,-78.0575,42.09547,1193.0,1193.0,0.0,1193.0,1940.0,NL,0.0,,0.0,,,,,12/17/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003055170000,"(42.09547, -78.0575)",7318.0,20.04931506849315
