,county,count
0,Allegany,2075
1,Cattaraugus,1370
2,Steuben,418
3,Erie,253
4,Chautauqua,146
5,Oswego,118
6,Ontario,43
7,Tompkins,37
8,Wyoming,33
9,Oneida,33
10,Genesee,24
11,Livingston,21
12,Schuyler,20
13,Madison,17
14,Cayuga,13
15,Onondaga,13
16,Chemung,10
17,Yates,9
18,Tioga,8
19,Broome,8
20,Seneca,7
21,Lewis,6
22,Jefferson,6
23,Chenango,5
24,Herkimer,3
25,Cortland,3
26,Niagara,3
27,Monroe,3
28,Washington,2
29,Albany,2
30,Schenectady,1
31,Wayne,1
32,Schoharie,1
33,Sullivan,1
34,Orleans,1
35,Montgomery,1
36,Delaware,1
37,Warren,1
