,county,count
0,Allegany,2324
1,Cattaraugus,1083
2,Steuben,421
3,Erie,248
4,Chautauqua,127
5,Oswego,110
6,Ontario,43
7,Tompkins,36
8,Oneida,33
9,Wyoming,30
10,Genesee,23
11,Livingston,21
12,Schuyler,20
13,Onondaga,19
14,Madison,17
15,Cayuga,12
16,Chemung,11
17,Yates,8
18,Tioga,8
19,Broome,7
20,Seneca,6
21,Lewis,6
22,Jefferson,6
23,Chenango,5
24,Niagara,3
25,Monroe,3
26,Herkimer,3
27,Cortland,3
28,Montgomery,2
29,Washington,2
30,Albany,2
31,Schenectady,1
32,Schoharie,1
33,Orleans,1
34,Sullivan,1
35,Delaware,1
36,Warren,1
37,Wayne,1
