,county,Count
0,Allegany,6446
1,Broome,22
2,Cattaraugus,3641
3,Cayuga,60
4,Chautauqua,861
5,Chemung,58
6,Chenango,29
7,Clinton,1
8,Cortland,14
9,Delaware,12
10,Erie,1108
11,Fulton,1
12,Genesee,196
13,Greene,2
14,Jefferson,1
15,Lewis,2
16,Livingston,74
17,Madison,27
18,Monroe,18
19,Montgomery,1
20,New York,2
21,Niagara,10
22,Oneida,15
23,Onondaga,21
24,Ontario,75
25,Orange,4
26,Orleans,13
27,Oswego,36
28,Otsego,13
29,Saratoga,2
30,Schoharie,1
31,Schuyler,60
32,Seneca,40
33,Statewide,16
34,Steuben,686
35,Sullivan,2
36,Tioga,34
37,Tompkins,19
38,Ulster,10
39,Warren,1
40,Washington,1
41,Wayne,12
42,Wyoming,210
43,Yates,49
