,apiwellnumber,countycode,apiholenumber,sidetrack,completion,wellname,companyname,operatornumber,welltype,mapsymbol,wellstatus,statusdate,permitapplicationdate,permitissueddate,datespudded,dateoftotaldepth,datewellcompleted,datewellplugged,datewellconfidentialityends,confidentialitycode,town,quad,quadsection,producingfield,producingformation,financialsecurity,slant,county,region,statelease,proposeddepthft,surfacelongitude,surfacelatitude,bottomholelongitude,bottomholelatitude,trueverticaldepthft,measureddepthft,kickoffft,drilleddepthft,elevationft,originalwelltype,permitfee,objectiveformation,depthfee,spacing,spacingacres,integration,hearingdate,datelastmodified,decdatabaselink,location1,date_well_completed,date_well_plugged,well_time,well_time ,well_time_yr
180,31037104640000,37,10464,0,0,Weinert 1,F.E. Petroleum Corp.,277,GW,GWP,PA,05/18/2015,01/21/1974,01/25/1974,,04/08/1974,04/08/1974,05/18/2015,,Released,Byron,Byron,E,,,True,Vertical,Genesee,8.0,,900.0,-78.04268999999998,43.0453,-78.04268999999998,43.0453,849.0,849.0,0.0,849.0,721.0,GW,0.0,,0.0,,,,,05/18/2015 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31037104640000,"(43.0453, -78.04269)",1974-04-08,2015-05-18,15015.0,15015,41.136986301369866
264,31003217760000,3,21776,0,0,NYSRA 7-8,Vandermark Exploration Inc.,1201,GD,GWP,PA,06/14/1990,08/02/1989,08/02/1989,09/14/1989,09/22/1989,09/22/1989,06/14/1990,03/14/1990,Released,Ward,Wellsville North,C,Vandermark Creek,Oriskany,False,Vertical,Allegany,9.0,ST,4500.0,-77.89118,42.22556,-77.89118,42.22556,4452.0,4452.0,0.0,4452.0,2225.0,NL,1225.0,Oriskany,1125.0,,,,,03/11/2008 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003217760000,"(42.22556, -77.89118)",1989-09-22,1990-06-14,265.0,265,0.726027397260274
290,31003165730000,3,16573,0,0,Forsythe 020,Plants and Goodwin Inc.,451,OW,OWP,PA,12/21/2006,08/21/1981,08/25/1981,10/25/1981,10/27/1981,10/27/1981,12/21/2006,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,0.0,-77.77037,42.06649,-77.77037,42.06649,1216.0,1216.0,0.0,1216.0,,NL,0.0,,0.0,,,,,01/05/2007 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003165730000,"(42.06649, -77.77037)",1981-10-27,2006-12-21,9186.0,9186,25.167123287671235
322,31003200230000,3,20023,0,0,Friendship Dairies 1,Friendship Dairies Inc.,1043,GW,GWP,PA,05/15/2009,04/22/1985,07/01/1985,07/12/1985,08/05/1985,12/31/1985,05/15/2009,07/24/1990,Released,Friendship,Belmont,A,,Medina,False,Vertical,Allegany,9.0,,5500.0,-78.117,42.21145,-78.117,42.21145,5236.0,5236.0,0.0,5236.0,1460.0,NL,1475.0,Medina,1375.0,,,,,09/11/2017 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003200230000,"(42.21145, -78.117)",1985-12-31,2009-05-15,8536.0,8536,23.386301369863013
326,31003184820000,3,18482,0,0,Kent Farms 1,Abarta Oil & Gas Inc.,739,DH,DP,PA,07/23/1990,08/05/1983,08/01/1983,08/23/1983,01/10/1984,07/18/1984,07/23/1990,,Pre-1989 Well (N/A),Andover,Andover,G,Beech Hill-Independence,Penny & Fulmer Valley,False,Vertical,Allegany,9.0,,2250.0,-77.84117999999998,42.16529,-77.84117999999998,42.16529,2458.0,2458.0,0.0,2458.0,2150.0,NL,725.0,Fulmer Valley,625.0,,,,,01/01/1900 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003184820000,"(42.16529, -77.84118)",1984-07-18,1990-07-23,2196.0,2196,6.016438356164383
330,31003087540000,3,8754,0,0,Clark-Norton 15,The Richardson Petroleum Corporation,37,OD,OWP,PA,04/11/1990,09/20/1971,,09/27/1971,11/03/1971,11/03/1971,04/11/1990,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,1225.0,-77.75969,42.06724,-77.75969,42.06724,1246.0,1246.0,0.0,1246.0,2220.0,NL,0.0,,0.0,,,,,04/04/1995 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003087540000,"(42.06724, -77.75969)",1971-11-03,1990-04-11,6734.0,6734,18.44931506849315
347,31003071270000,3,7127,0,0,Alma Hill 20-66,K-Arcy Corp.,192,OD,OWP,PA,12/12/1985,,,08/15/1969,09/09/1969,09/13/1969,12/12/1985,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1100.0,-78.01265999999998,42.02606,-78.01265999999998,42.02606,1114.0,1114.0,0.0,1114.0,1920.0,NL,0.0,,0.0,,,,,12/14/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003071270000,"(42.02606, -78.01266)",1969-09-13,1985-12-12,5934.0,5934,16.257534246575343
361,31003192690000,3,19269,0,0,Bledsoe 01 Z,The Richardson Petroleum Corporation,37,OD,OWP,PA,05/21/1992,08/27/1984,09/10/1984,10/30/1984,12/08/1984,12/24/1984,05/21/1992,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,1850.0,-77.75635,42.07039,-77.75635,42.07039,1815.0,1815.0,0.0,1815.0,2200.0,NL,600.0,Fulmer Valley,500.0,,,,,07/29/1987 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003192690000,"(42.07039, -77.75635)",1984-12-24,1992-05-21,2705.0,2705,7.410958904109589
366,31003170020000,3,17002,0,0,Hungerford 3,B & H Oil Co.,1305,OD,OWP,PA,11/10/1998,12/21/1981,12/30/1981,01/29/1982,02/03/1982,06/07/1982,11/10/1998,,Pre-1989 Well (N/A),Bolivar,Bolivar,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1700.0,-78.15501999999998,42.00878,-78.15501999999998,42.00878,1716.0,1716.0,0.0,1716.0,2020.0,NL,600.0,,500.0,,,,,12/09/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003170020000,"(42.00878, -78.15502)",1982-06-07,1998-11-10,6000.0,6000,16.438356164383563
376,31003130510000,3,13051,0,0,49 Bayard Austin,The Richardson Petroleum Corporation,37,OD,OWP,PA,10/28/1992,,11/01/1979,12/15/1977,01/30/1978,10/20/1978,10/28/1992,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,0.0,-77.75651999999998,42.07727,-77.75651999999998,42.07727,1863.0,1863.0,0.0,1863.0,2235.0,NL,0.0,Fulmer Valley,0.0,,,,,06/07/1996 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003130510000,"(42.07727, -77.75652)",1978-10-20,1992-10-28,5122.0,5122,14.032876712328767
